codigo;eixo1;eixo2;eixo3;eixo4;eixo5
B2-01-A;1;2;1;1;5
B2-02-A;2;3;2;1;2
B2-03-A;1;1;2;5;1
B2-03-B;1;1;5;1;2
B2-03-C;1;1;3;3;2
B2-03-D;1;2;1;1;5
B2-03-E;1;1;2;2;4
B2-03-F;1;2;1;1;5
B2-03-G;1;2;1;1;5
B2-03-H;2;2;2;2;2
B2-04-A;1;1;3;3;2
B2-05-A;1;2;1;1;5
B2-06-A;1;1;3;3;2
B2-07-A;2;2;1;1;4
B2-07-B;2;3;3;1;1
B2-08-A;1;1;3;3;2
B2-08-B;2;3;1;1;1
B2-08-C;4;3;1;1;1
B2-08-D;2;1;1;1;5
B2-09-A;1;1;3;3;2
B2-10-A;1;1;3;3;2
B7-02-A;2;2;2;2;2
B7-02-B;2;2;1;1;4
B7-02-C;2;2;1;1;4
B7-02-D;2;2;1;1;4
B7-02-E;2;1;3;3;1
B7-05-A;2;3;1;3;1
B7-09-E;3;3;2;1;1
B7-07-E;3;2;1;3;1
B7-07-B;2;2;1;1;4
B7-07-A;2;2;1;1;4
B7-07-D;2;2;1;4;1
B7-07-C;2;1;1;2;4
B7-11-A;1;2;2;4;1
B7-01-B;2;3;2;2;1
B7-01-A;3;3;1;2;1
B7-01-E;1;2;1;1;5
B7-14-A;3;2;1;3;1
B7-01-D;1;2;1;5;1
B7-01-C;1;3;1;1;4
B7-04-C;3;2;2;2;1
B7-04-B;1;1;2;5;1
B7-04-A;2;1;1;1;5
B7-04-D;2;2;1;3;2
B7-09-A;2;2;2;2;2
B7-09-B;2;1;1;1;5
B7-09-C;2;1;1;1;5
B7-09-F;2;1;1;1;5
B7-09-D;2;1;1;5;1
B7-12-A;2;2;2;2;2
B7-13-A;2;2;2;2;2
B7-10-A;1;2;3;3;1
B7-08-A;4;2;1;1;2
B7-03-A;1;2;2;4;1
B7-03-D;1;2;2;4;1
B7-03-C;4;1;1;1;3
B7-03-B;4;1;2;1;2
B7-03-I;2;2;2;2;2
B7-03-E;2;2;1;1;4
B7-03-F;2;2;1;1;4
B7-03-G;2;1;2;1;4
B7-03-H;2;2;1;1;4
B7-03-J;3;1;2;1;3
B7-06-A;2;2;2;2;2
B4-01-A;1;1;2;5;1
B4-01-B;1;1;5;2;1
B4-02-A;2;3;3;1;1
B4-03-A;4;3;1;1;1
B4-03-B;4;3;1;1;1
B4-03-C;1;1;1;5;2
B4-03-D;1;1;1;5;2
B4-03-E;1;1;5;1;2
B4-04-A;1;1;2;3;3
